player,team,agents,rounds_played,rating,acs,adr,kpr,apr,fkpr,fdpr,kills,deaths,assists,first_kills,first_deaths,hs_pct,clutch_success_pct,clutches_won_played,max_kills_map,tournament,stage,match_type,map,game_id,match_id,kdr,kad,fk_fd_diff,hs_rate,clutch_rate
9st,Night Wings Gaming,"breach, harbor, kayo, killjoy, skye",282,0.78,166.0,104.0,0.55,0.44,0.08,0.13,156,223,125,22,36,25.0,12.0,3/26,19,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.6995515695067265,1.2600896860986548,-14,0.25,0.1153846153846153
Artill,Invincible Gaming,"fade, kayo, skye",176,0.76,159.0,102.0,0.53,0.22,0.09,0.11,93,133,39,15,19,23.0,13.0,2/16,19,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.6992481203007519,0.9924812030075189,-4,0.23,0.125
Chaos,Monarch Effect,"jett, neon, raze",425,1.14,237.0,162.0,0.82,0.19,0.19,0.17,348,317,79,55,50,25.0,25.0,7/28,29,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0977917981072556,1.3470031545741326,5,0.25,0.25
Cyah,Monarch Effect,"astra, brimstone, omen, viper",425,1.04,177.0,121.0,0.64,0.38,0.06,0.06,273,303,161,18,18,37.0,10.0,5/48,27,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.900990099009901,1.4323432343234324,0,0.37,0.1041666666666666
DanGe,Nova Esports,"sage, viper",38,0.38,80.0,53.0,0.29,0.13,0.03,0.18,11,32,5,1,7,30.0,0.0,0/7,8,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.34375,0.5,-6,0.3,0.0
FFs,Monarch Effect,"breach, gekko, skye",425,0.96,192.0,117.0,0.66,0.38,0.07,0.11,281,300,161,19,31,19.0,20.0,5/25,22,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.9366666666666666,1.4733333333333334,-12,0.19,0.2
Guran,Douyu Gaming,"breach, kayo, skye",216,1.11,207.0,127.0,0.71,0.51,0.07,0.07,153,146,111,15,16,23.0,21.0,5/24,22,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.047945205479452,1.808219178082192,-1,0.23,0.2083333333333333
Hao,Kingzone,"cypher, jett",110,1.01,225.0,146.0,0.85,0.08,0.14,0.13,94,87,9,15,14,44.0,10.0,2/21,26,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0804597701149423,1.1839080459770115,1,0.44,0.0952380952380952
JL,Nova Esports,"breach, fade, sova, viper",161,0.85,167.0,112.0,0.57,0.31,0.08,0.12,92,113,50,13,19,20.0,26.0,5/19,17,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.8141592920353983,1.2566371681415929,-6,0.2,0.2631578947368421
Libra,Kingzone,"brimstone, harbor, omen",110,0.78,191.0,128.0,0.64,0.35,0.08,0.08,70,91,39,9,9,23.0,6.0,1/16,24,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.7692307692307693,1.1978021978021978,0,0.23,0.0625
LilCrazy,Douyu Gaming,"jett, raze",216,1.08,233.0,145.0,0.85,0.12,0.18,0.17,183,156,26,39,36,32.0,22.0,4/18,28,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.1730769230769231,1.3397435897435896,3,0.32,0.2222222222222222
Lyy,Invincible Gaming,raze,176,0.79,183.0,126.0,0.61,0.2,0.15,0.19,108,141,35,27,34,24.0,8.0,1/12,22,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.7659574468085106,1.0141843971631206,-7,0.24,0.0833333333333333
Muhemai,Invincible Gaming,"astra, brimstone, harbor, omen",176,0.85,164.0,111.0,0.6,0.26,0.06,0.06,106,125,46,10,11,32.0,8.0,3/40,20,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.848,1.216,-1,0.32,0.075
Pinklove,Monarch Effect,"cypher, killjoy",43,,156.0,,0.58,0.26,,,25,34,11,0,0,,,,16,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.7352941176470589,1.0588235294117647,0,,
R1ckLeexD,Weibo Gaming,"cypher, killjoy, viper",342,0.92,181.0,121.0,0.65,0.15,0.1,0.09,222,235,50,19,18,21.0,32.0,8/25,21,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.9446808510638298,1.1574468085106382,1,0.21,0.32
Revival,Number One Player,"breach, harbor, killjoy, raze",211,0.99,203.0,142.0,0.78,0.25,0.07,0.07,164,154,53,15,15,21.0,16.0,6/38,28,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0649350649350648,1.4090909090909092,0,0.21,0.1578947368421052
SORRYMYBAD,TYLOO,"breach, kayo, killjoy, skye, sova",441,1.05,186.0,122.0,0.69,0.35,0.03,0.03,305,287,156,5,5,24.0,5.0,1/21,24,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0627177700348431,1.6062717770034842,0,0.24,0.0476190476190476
Septem7,Shenzhen NTER,"cypher, killjoy, viper",287,0.95,173.0,120.0,0.61,0.18,0.11,0.14,174,203,53,27,35,22.0,24.0,5/21,31,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.8571428571428571,1.1182266009852218,-8,0.22,0.238095238095238
Sorrys,Royal Never Give Up,"kayo, raze, sova, viper",284,0.88,186.0,123.0,0.59,0.42,0.09,0.12,167,218,118,20,26,20.0,8.0,1/13,20,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.7660550458715596,1.3073394495412844,-6,0.2,0.0769230769230769
Star1og,Number One Player,"astra, brimstone, omen, viper",211,0.87,158.0,109.0,0.56,0.31,0.06,0.1,118,152,66,12,22,33.0,30.0,8/27,21,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.7763157894736842,1.2105263157894737,-10,0.33,0.2962962962962963
Strawberrycc,Four Angry Men,"jett, raze",358,1.06,243.0,154.0,0.82,0.18,0.23,0.2,292,282,63,69,59,20.0,9.0,2/23,28,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0354609929078014,1.2588652482269505,10,0.2,0.0869565217391304
XJian,Gank Gaming,"astra, omen",296,0.95,172.0,111.0,0.6,0.4,0.06,0.08,177,201,117,18,23,24.0,16.0,5/32,23,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.8805970149253731,1.462686567164179,-5,0.24,0.15625
XXXTACO,Number One Player,"breach, skye",211,0.95,194.0,125.0,0.71,0.38,0.11,0.11,149,161,81,24,23,27.0,5.0,1/20,22,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.9254658385093169,1.4285714285714286,1,0.27,0.05
XiaoFei,Night Wings Gaming,"breach, skye, sova, viper",282,1.01,209.0,138.0,0.73,0.31,0.07,0.09,205,200,88,20,24,38.0,32.0,12/38,28,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.025,1.465,-4,0.38,0.3157894736842105
XuAN,Four Angry Men,"killjoy, viper",358,0.99,196.0,122.0,0.66,0.2,0.09,0.09,238,250,71,26,28,20.0,21.0,6/29,22,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.952,1.236,-2,0.2,0.2068965517241379
YAX1N,Kingzone,"breach, skye",80,0.67,112.0,78.0,0.36,0.33,0.04,0.04,29,62,26,3,3,24.0,13.0,2/15,10,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.4677419354838709,0.8870967741935484,0,0.24,0.1333333333333333
Yueluo,Rare Atom,"breach, kayo, skye",180,1.02,197.0,129.0,0.68,0.43,0.06,0.06,123,133,77,11,10,32.0,9.0,2/23,22,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.924812030075188,1.5037593984962403,1,0.32,0.0869565217391304
Zero1,Attacking Soul Esports,"breach, kayo, skye",166,,189.0,,0.69,0.54,,,115,108,89,0,0,,,,25,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0648148148148149,1.8888888888888888,0,,
Zoomer,Weibo Gaming,"breach, jett, skye",342,1.11,191.0,125.0,0.7,0.35,0.08,0.06,239,232,120,18,12,30.0,24.0,4/17,25,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,1.0301724137931034,1.5474137931034482,6,0.3,0.2352941176470588
abc321,Kingzone,"breach, fade",30,0.19,77.0,53.0,0.23,0.1,0.0,0.2,7,29,3,0,6,24.0,25.0,1/4,5,Champions Tour 2023: Champions China Qualifier,All Stages,All Match Types,,,,0.2413793103448276,0.3448275862068966,-6,0.24,0.25
